%
% index = 1970, name = bbob_f008_i02_d10__bbob_f020_i04_d10
% instance = 1, reference value = 9.955149213614800e-001
% function evaluation | indicator value | target hit
1	7.520480672641522e-001	7.585775750291838e-001
7	7.395562312594171e-001	7.413102413009175e-001
11	6.539816200919143e-001	6.606934480075960e-001
12	4.694925182906623e-001	4.786300923226383e-001
13	1.970045380238354e-001	1.995262314968880e-001
14	1.209754768382859e-001	1.230268770812382e-001
17	1.200064318836768e-001	1.202264434617413e-001
21	1.121212963082312e-001	1.122018454301964e-001
22	1.084249222089432e-001	1.096478196143185e-001
23	9.413581644232016e-002	9.549925860214359e-002
24	7.656906413146403e-002	7.762471166286916e-002
30	7.556328052494410e-002	7.585775750291836e-002
35	7.233230881425479e-002	7.244359600749903e-002
40	7.006483779213946e-002	7.079457843841380e-002
42	6.779446613712314e-002	6.918309709189366e-002
43	6.497948780280638e-002	6.606934480075961e-002
44	5.929014025443657e-002	6.025595860743578e-002
46	5.848900634493803e-002	5.888436553555890e-002
48	5.725794996885603e-002	5.754399373371569e-002
59	5.347306165210741e-002	5.370317963702527e-002
60	4.713999881707354e-002	4.786300923226383e-002
91	4.212708701810264e-002	4.265795188015926e-002
92	3.880654998138677e-002	3.890451449942807e-002
98	3.800454045926338e-002	3.801893963205612e-002
100	3.662910081176363e-002	3.715352290971726e-002
101	3.542268571258078e-002	3.548133892335755e-002
102	3.343587556121175e-002	3.388441561392026e-002
105	3.125014176128804e-002	3.162277660168379e-002
106	2.908898295439100e-002	2.951209226666385e-002
107	2.612728798776076e-002	2.630267991895382e-002
108	2.528916313798679e-002	2.570395782768863e-002
109	2.148494801970047e-002	2.187761623949553e-002
110	1.834557360654987e-002	1.862087136662868e-002
113	1.459654776689645e-002	1.479108388168207e-002
115	1.423337862155039e-002	1.445439770745927e-002
118	1.356212601482254e-002	1.380384264602885e-002
120	1.328554770532253e-002	1.348962882591653e-002
125	1.271914865480284e-002	1.288249551693134e-002
126	1.199197490902204e-002	1.202264434617413e-002
127	1.125155190625971e-002	1.148153621496883e-002
141	1.068346198121561e-002	1.071519305237607e-002
169	1.032457806449449e-002	1.047128548050900e-002
197	9.758587565444676e-003	9.772372209558112e-003
198	9.506825511896189e-003	9.549925860214359e-003
199	9.260813493921161e-003	9.332543007969915e-003
277	9.029771640242323e-003	9.120108393559097e-003
290	8.580477591276892e-003	8.709635899560805e-003
317	8.416456890240287e-003	8.511380382023768e-003
393	7.063285227613902e-003	7.079457843841380e-003
447	6.899839592980461e-003	6.918309709189363e-003
541	6.386299085937464e-003	6.456542290346556e-003
547	6.257435849823079e-003	6.309573444801930e-003
577	6.094563759567850e-003	6.165950018614822e-003
587	5.987181047631074e-003	6.025595860743574e-003
644	5.885455271027906e-003	5.888436553555890e-003
662	5.748387311150349e-003	5.754399373371567e-003
685	5.589278785319451e-003	5.623413251903491e-003
704	5.494029452047133e-003	5.495408738576248e-003
720	5.339798997063494e-003	5.370317963702527e-003
723	5.217882139925911e-003	5.248074602497728e-003
733	5.117936724518102e-003	5.128613839913648e-003
751	4.965487417103676e-003	5.011872336272725e-003
755	4.795060674582241e-003	4.897788193684461e-003
757	4.741557202918689e-003	4.786300923226385e-003
778	4.620825424146102e-003	4.677351412871981e-003
783	4.477978833986485e-003	4.570881896148752e-003
786	4.451348553982770e-003	4.466835921509631e-003
794	4.355318306208500e-003	4.365158322401661e-003
806	4.231151360068575e-003	4.265795188015926e-003
818	4.168557586261223e-003	4.168693834703355e-003
835	4.072598731226007e-003	4.073802778041126e-003
848	3.968231080757501e-003	3.981071705534973e-003
865	3.885885399129263e-003	3.890451449942805e-003
885	3.784890616256087e-003	3.801893963205613e-003
899	3.690808825019709e-003	3.715352290971724e-003
916	3.629208394221872e-003	3.630780547701014e-003
