%
% index = 2749, name = bbob_f021_i21_d20__bbob_f021_i22_d20
% instance = 10, reference value = 7.539361836393650e-001
% function evaluation | indicator value | target hit
1	7.352098633536222e-001	7.413102413009175e-001
18	7.196995887469905e-001	7.244359600749900e-001
23	7.050651521766604e-001	7.079457843841379e-001
48	6.916376782106333e-001	6.918309709189364e-001
95	6.685629807544395e-001	6.760829753919818e-001
96	6.494721286323565e-001	6.606934480075960e-001
114	6.455249376272788e-001	6.456542290346555e-001
136	6.299236481570711e-001	6.309573444801933e-001
159	6.164562102676447e-001	6.165950018614822e-001
195	5.818899120886425e-001	5.888436553555889e-001
196	5.201081310668068e-001	5.248074602497725e-001
201	5.116629118249846e-001	5.128613839913648e-001
204	4.992821636387425e-001	5.011872336272722e-001
222	4.890730667773372e-001	4.897788193684462e-001
235	4.770695259652202e-001	4.786300923226383e-001
246	4.674609404371786e-001	4.677351412871982e-001
261	4.569313540093130e-001	4.570881896148750e-001
325	4.443754939821631e-001	4.466835921509632e-001
645	4.364994045150615e-001	4.365158322401660e-001
722	4.253455077249194e-001	4.265795188015927e-001
735	4.146725297894480e-001	4.168693834703354e-001
781	4.070989947262338e-001	4.073802778041127e-001
826	3.978372492980044e-001	3.981071705534973e-001
909	3.889745317899337e-001	3.890451449942806e-001
1006	3.801768140545079e-001	3.801893963205612e-001
1068	3.712685298466361e-001	3.715352290971726e-001
1130	3.625808763211755e-001	3.630780547701014e-001
1243	3.545554098557625e-001	3.548133892335755e-001
1350	3.466155707913633e-001	3.467368504525316e-001
1540	3.387787933789167e-001	3.388441561392026e-001
1743	3.309212783294256e-001	3.311311214825911e-001
1895	3.233538816085226e-001	3.235936569296283e-001
2422	3.162256316575779e-001	3.162277660168379e-001
3045	3.090181576301462e-001	3.090295432513591e-001
6052	3.019836785003201e-001	3.019951720402016e-001
23131	2.948794828943871e-001	2.951209226666385e-001
29482	2.883974565679632e-001	2.884031503126606e-001
39307	2.818295982532931e-001	2.818382931264454e-001
98429	2.754179955544778e-001	2.754228703338166e-001
99225	2.691521041316434e-001	2.691534803926916e-001
148196	2.630258678788205e-001	2.630267991895382e-001
476572	2.569710094990754e-001	2.570395782768864e-001
476845	2.510557541616358e-001	2.511886431509580e-001
477840	2.454250288903184e-001	2.454708915685031e-001
479302	2.398388598824052e-001	2.398832919019490e-001
484250	2.344159660252774e-001	2.344228815319922e-001
554340	2.290866268419671e-001	2.290867652767773e-001
732608	2.238709491446822e-001	2.238721138568340e-001
989529	2.170369806403406e-001	2.187761623949552e-001
996759	2.137958892150330e-001	2.137962089502232e-001
1001957	2.088708637345693e-001	2.089296130854039e-001
1009696	2.008888685522613e-001	2.041737944669530e-001
1010834	1.961100816802490e-001	1.995262314968880e-001
1011735	1.949084266021849e-001	1.949844599758046e-001
1032871	1.905189365787162e-001	1.905460717963247e-001
1032935	1.851903302319101e-001	1.862087136662868e-001
1034299	1.807392155526808e-001	1.819700858609984e-001
1034930	1.773259347071707e-001	1.778279410038923e-001
1035430	1.733914523700793e-001	1.737800828749375e-001
1037152	1.695657190181205e-001	1.698243652461744e-001
1037390	1.650757633766281e-001	1.659586907437561e-001
1037605	1.621137406900878e-001	1.621810097358930e-001
1037801	1.584023905738937e-001	1.584893192461113e-001
1038442	1.546502561607417e-001	1.548816618912481e-001
1039443	1.512985643133135e-001	1.513561248436208e-001
1039892	1.474795687712627e-001	1.479108388168208e-001
1040656	1.442604620267516e-001	1.445439770745928e-001
1041350	1.410949508657181e-001	1.412537544622755e-001
1041941	1.378334252340074e-001	1.380384264602885e-001
1042506	1.348376698364000e-001	1.348962882591654e-001
1043283	1.305428134744718e-001	1.318256738556407e-001
1043930	1.286590837191002e-001	1.288249551693134e-001
1044672	1.258533444586792e-001	1.258925411794167e-001
1045936	1.228273061475020e-001	1.230268770812382e-001
1047036	1.201747931421304e-001	1.202264434617413e-001
1047654	1.174075468958206e-001	1.174897554939529e-001
1048396	1.147951883305071e-001	1.148153621496883e-001
1049067	1.121557823218283e-001	1.122018454301964e-001
1052563	1.090129886971718e-001	1.096478196143185e-001
1053840	1.071302180494235e-001	1.071519305237607e-001
1055174	1.047106889012539e-001	1.047128548050900e-001
1056616	1.023284718636205e-001	1.023292992280754e-001
1057717	9.970825037940023e-002	1.000000000000000e-001
1058851	9.771719061415651e-002	9.772372209558107e-002
1060303	9.549880529572696e-002	9.549925860214359e-002
1061474	9.332463810448222e-002	9.332543007969910e-002
1063200	9.119350469414955e-002	9.120108393559097e-002
1065890	8.911680759237906e-002	8.912509381337455e-002
1100813	8.709562702104357e-002	8.709635899560805e-002
1108725	8.511313110536578e-002	8.511380382023763e-002
1115092	8.317607569531915e-002	8.317637711026708e-002
1165258	8.128300469856165e-002	8.128305161640990e-002
10262545	7.862192969602111e-002	7.943282347242814e-002
10298739	7.109210441635716e-002	7.244359600749903e-002
10300318	6.899343989855911e-002	6.918309709189366e-002
10327565	6.687986998253159e-002	6.760829753919818e-002
10329469	6.601875569382742e-002	6.606934480075961e-002
10335656	6.414603005759501e-002	6.456542290346556e-002
10336736	6.279114565003297e-002	6.309573444801933e-002
10357821	5.947549830611232e-002	6.025595860743578e-002
10398659	5.776463929275499e-002	5.888436553555890e-002
