%
% index = 2369, name = bbob_f002_i21_d20__bbob_f017_i22_d20
% instance = 10, reference value = 9.890774311517560e-001
% function evaluation | indicator value | target hit
1	8.950675107283868e-001	9.120108393559098e-001
16	8.702579658513124e-001	8.709635899560806e-001
23	7.068746125898582e-001	7.079457843841379e-001
24	6.486656272156315e-001	6.606934480075960e-001
25	6.456442416479068e-001	6.456542290346555e-001
29	6.050560533223812e-001	6.165950018614822e-001
32	6.012572223165567e-001	6.025595860743578e-001
52	5.885609578221420e-001	5.888436553555889e-001
58	5.739184358546857e-001	5.754399373371569e-001
104	5.582572506023310e-001	5.623413251903491e-001
106	5.450840886973982e-001	5.495408738576245e-001
231	5.368415696166262e-001	5.370317963702527e-001
246	5.034672868099801e-001	5.128613839913648e-001
291	5.007325682912811e-001	5.011872336272722e-001
503	4.882984516554837e-001	4.897788193684462e-001
678	4.766300470619650e-001	4.786300923226383e-001
695	4.628272967660038e-001	4.677351412871982e-001
717	4.382862040782539e-001	4.466835921509632e-001
770	4.350062828131526e-001	4.365158322401660e-001
839	4.223442022426728e-001	4.265795188015927e-001
930	4.165772036130697e-001	4.168693834703354e-001
971	3.922295337152719e-001	3.981071705534973e-001
975	3.802630681787879e-001	3.890451449942806e-001
987	3.789862577831830e-001	3.801893963205612e-001
1190	3.435962601984242e-001	3.467368504525316e-001
1467	3.317463048016494e-001	3.388441561392026e-001
1516	3.309273277500918e-001	3.311311214825911e-001
1522	3.181022119199434e-001	3.235936569296283e-001
1624	3.157501443637750e-001	3.162277660168379e-001
1819	3.066788597698920e-001	3.090295432513591e-001
2051	3.015738766771813e-001	3.019951720402016e-001
2577	2.949254392737164e-001	2.951209226666385e-001
2640	2.883989746983136e-001	2.884031503126606e-001
2815	2.793017860839258e-001	2.818382931264454e-001
3125	2.747887824433773e-001	2.754228703338166e-001
3569	2.689646362754073e-001	2.691534803926916e-001
4406	2.629437692026639e-001	2.630267991895382e-001
8784	2.570394501269950e-001	2.570395782768864e-001
21692	2.415969142077798e-001	2.454708915685031e-001
21765	2.233176929418813e-001	2.238721138568340e-001
21914	2.139561552979212e-001	2.187761623949552e-001
21915	2.136789287154873e-001	2.137962089502232e-001
