%
% index = 2439, name = bbob_f006_i21_d20__bbob_f015_i22_d20
% instance = 10, reference value = 9.581921623682860e-001
% function evaluation | indicator value | target hit
1	8.197758960435402e-001	8.317637711026710e-001
4	7.928425151616713e-001	7.943282347242815e-001
6	7.713840336940163e-001	7.762471166286917e-001
14	7.344325379804123e-001	7.413102413009175e-001
18	7.147338534390578e-001	7.244359600749900e-001
23	6.018857373861335e-001	6.025595860743578e-001
24	5.437116653766480e-001	5.495408738576245e-001
25	5.346917330003356e-001	5.370317963702527e-001
29	5.138242852015261e-001	5.248074602497725e-001
31	5.024844482451474e-001	5.128613839913648e-001
42	4.971185674197303e-001	5.011872336272722e-001
46	4.670334786108095e-001	4.677351412871982e-001
65	4.523791712552753e-001	4.570881896148750e-001
66	4.209297516756829e-001	4.265795188015927e-001
67	4.145578677812967e-001	4.168693834703354e-001
73	3.897075881520683e-001	3.981071705534973e-001
76	3.743463996423598e-001	3.801893963205612e-001
77	3.661500940011684e-001	3.715352290971726e-001
81	3.610485908086190e-001	3.630780547701014e-001
85	3.525063625054189e-001	3.548133892335755e-001
115	3.463611729102687e-001	3.467368504525316e-001
153	3.105276996976416e-001	3.162277660168379e-001
154	2.901627104321767e-001	2.951209226666385e-001
155	2.861114480152528e-001	2.884031503126606e-001
158	2.817163207941917e-001	2.818382931264454e-001
162	2.724977459605708e-001	2.754228703338166e-001
164	2.670324537367740e-001	2.691534803926916e-001
181	2.630070058028921e-001	2.630267991895382e-001
245	2.561974563554311e-001	2.570395782768864e-001
283	2.510364216636485e-001	2.511886431509580e-001
773	2.453106999542737e-001	2.454708915685031e-001
1223	2.397719462552741e-001	2.398832919019490e-001
1792	2.340551566363496e-001	2.344228815319922e-001
2078	2.289750955030662e-001	2.290867652767773e-001
2611	2.238540804785536e-001	2.238721138568340e-001
3305	2.184824339162527e-001	2.187761623949552e-001
5098	2.137015651281196e-001	2.137962089502232e-001
21804	1.943298599265075e-001	1.949844599758046e-001
22631	1.899034683382613e-001	1.905460717963247e-001
23464	1.862081850860032e-001	1.862087136662868e-001
25417	1.817116260090353e-001	1.819700858609984e-001
