%
% index = 2380, name = bbob_f002_i02_d20__bbob_f021_i04_d20
% instance = 1, reference value = 9.857272070955611e-001
% function evaluation | indicator value | target hit
1	9.035491691833347e+002	9.120108393559096e+002
2	6.577891668742457e+002	6.606934480075958e+002
8	6.121266542633077e+002	6.165950018614822e+002
15	5.959139012307974e+002	6.025595860743575e+002
16	5.602567848223260e+002	5.623413251903490e+002
31	4.796404892967854e+002	4.897788193684461e+002
35	3.950072415807551e+002	3.981071705534973e+002
46	1.380397990306123e+002	1.412537544622754e+002
103	1.331488986216511e+002	1.348962882591653e+002
150	6.996046733973853e+001	7.079457843841381e+001
1495	6.996046733973853e+001	7.079457843841381e+001
%
% index = 2381, name = bbob_f002_i03_d20__bbob_f021_i05_d20
% instance = 2, reference value = 9.719467969746950e-001
% function evaluation | indicator value | target hit
1	6.211700826061576e+002	6.309573444801930e+002
10	5.611414886978348e+002	5.623413251903490e+002
30	5.466443381357880e+002	5.495408738576248e+002
42	4.198173420167634e+002	4.265795188015925e+002
45	2.724969140423911e+002	2.754228703338166e+002
46	1.625105388276402e+002	1.659586907437561e+002
47	1.221563749583417e+002	1.230268770812381e+002
103	8.690574029763616e+001	8.709635899560806e+001
898	6.386750085348763e+001	6.456542290346556e+001
1459	6.386750085348763e+001	6.456542290346556e+001
%
% index = 2382, name = bbob_f002_i07_d20__bbob_f021_i08_d20
% instance = 3, reference value = 9.933452169758160e-001
% function evaluation | indicator value | target hit
1	8.937158169556540e+002	9.120108393559096e+002
2	7.665772232862418e+002	7.762471166286920e+002
3	6.683910526543456e+002	6.760829753919819e+002
4	5.814900884370911e+002	5.888436553555890e+002
5	4.420116696699450e+002	4.466835921509630e+002
45	2.515839650247982e+002	2.570395782768865e+002
46	1.432229633737818e+002	1.445439770745928e+002
207	1.384281284702371e+002	1.412537544622754e+002
208	1.371190986419065e+002	1.380384264602885e+002
534	7.821512948673731e+001	7.943282347242814e+001
581	5.539850392403072e+001	5.623413251903491e+001
1350	5.332847324418616e+001	5.370317963702527e+001
1459	5.332847324418616e+001	5.370317963702527e+001
%
% index = 2383, name = bbob_f002_i09_d20__bbob_f021_i10_d20
% instance = 4, reference value = 9.768017382759650e-001
% function evaluation | indicator value | target hit
1	1.010513676538043e+003	1.023292992280754e+003
3	8.345043669399965e+002	8.511380382023768e+002
4	7.034280959477655e+002	7.079457843841381e+002
6	5.081316711957570e+002	5.128613839913649e+002
26	4.292509840981593e+002	4.365158322401661e+002
46	2.532342102588859e+002	2.570395782768865e+002
47	1.350098363147346e+002	1.380384264602885e+002
218	1.194925126803639e+002	1.202264434617413e+002
591	1.087429780428495e+002	1.096478196143185e+002
643	9.086842542328097e+001	9.120108393559097e+001
1486	9.086842542328097e+001	9.120108393559097e+001
%
% index = 2384, name = bbob_f002_i11_d20__bbob_f021_i12_d20
% instance = 5, reference value = 9.844704348254300e-001
% function evaluation | indicator value | target hit
1	1.427891005044675e+003	1.445439770745928e+003
4	9.439385186039034e+002	9.549925860214360e+002
5	5.772519390237821e+002	5.888436553555890e+002
9	5.715515933807396e+002	5.754399373371566e+002
10	4.717852926172681e+002	4.786300923226385e+002
46	1.357646080834448e+002	1.380384264602885e+002
51	1.167453746812864e+002	1.174897554939529e+002
202	1.112991212059716e+002	1.122018454301963e+002
1272	8.965508163330208e+001	9.120108393559097e+001
1500	8.965508163330208e+001	9.120108393559097e+001
%
% index = 2385, name = bbob_f002_i13_d20__bbob_f021_i14_d20
% instance = 6, reference value = 9.888812269120810e-001
% function evaluation | indicator value | target hit
1	5.497930397819961e+002	5.623413251903490e+002
46	2.800960683306901e+002	2.818382931264455e+002
47	2.374873157950681e+002	2.398832919019490e+002
98	1.212662254697287e+002	1.230268770812381e+002
165	1.081752184849756e+002	1.096478196143185e+002
591	9.716568714538677e+001	9.772372209558107e+001
1500	9.716568714538677e+001	9.772372209558107e+001
%
% index = 2386, name = bbob_f002_i15_d20__bbob_f021_i16_d20
% instance = 7, reference value = 9.842942976637500e-001
% function evaluation | indicator value | target hit
1	7.290847269024533e+002	7.413102413009177e+002
2	3.266238476998739e+002	3.311311214825911e+002
46	1.781812278933402e+002	1.819700858609982e+002
98	1.679382690103864e+002	1.698243652461744e+002
103	1.339262582055640e+002	1.348962882591653e+002
207	6.897299085273755e+001	6.918309709189366e+001
1459	6.897299085273755e+001	6.918309709189366e+001
%
% index = 2387, name = bbob_f002_i17_d20__bbob_f021_i18_d20
